url,label
https://google.com,0
https://youtube.com,0
https://github.com,0
https://microsoft.com,0
https://amazon.com,0
https://facebook.com,0
https://apple.com,0
https://wikipedia.org,0
https://linkedin.com,0
https://instagram.com,0
https://google-login-security.com,1
https://paypal-verification.com,1
https://secure-account-update.com,1
https://bank-login-alert.com,1
https://free-gift-winner.com,1
https://verify-your-account-now.com,1
https://login-confirmation-security.com,1
https://account-suspended-warning.com,1
https://amazon-security-check.com,1
https://paypal-account-verify.com,1
